ID,division,crime_category,crime,report_count
1,D11,Personal Offense,Other,22
2,D11,Property Offense,Theft,1
3,D11,Personal Offense,Other,1
4,D11,Personal Offense,Robbery,1
5,D11,Property Offense,Break & Enter,23
6,D11,Property Offense,Theft,1
7,D11,Property Offense,Break & Enter,13
8,D11,Property Offense,Theft,2
9,D11,Property Offense,Break & Enter,7
10,D11,Property Offense,Theft,1
11,D11,Personal Offense,Robbery,1
12,D11,Property Offense,Break & Enter,8
13,D12,Property Offense,Break & Enter,4
14,D11,Controlled Substances,Other,14
15,D12,Property Offense,Theft,39
16,D11,Property Offense,Theft,2
17,D11,Personal Offense,Robbery,1
18,D11,Property Offense,Break & Enter,5
19,D12,Property Offense,Fraud,21
20,D11,Property Offense,Theft,4
21,D12,Property Offense,Theft,9
22,D11,Controlled Substances,Other,20
23,D11,Personal Offense,Robbery,1
24,D11,Property Offense,Break & Enter,7
25,D12,Property Offense,Fraud,42
26,D11,Property Offense,Theft,1
27,D12,Property Offense,Theft,20
28,D11,Controlled Substances,Other,20
29,D11,Personal Offense,Robbery,1
30,D11,Property Offense,Break & Enter,13
31,D12,Property Offense,Fraud,6
32,D11,Property Offense,Theft,372
33,D12,Property Offense,Theft,7
34,D11,Controlled Substances,Other,11
35,D11,Personal Offense,Robbery,1
36,D11,Property Offense,Break & Enter,6
37,D11,Property Offense,Theft,147
38,D12,Property Offense,Theft,27
39,D12,Personal Offense,Assault,67
40,D12,Property Offense,Fraud,27
41,D11,Other,Other,1
42,D11,Controlled Substances,Other,56
43,D11,Property Offense,Break & Enter,3
44,D11,Personal Offense,Robbery,1
45,D11,Property Offense,Theft,166
46,D12,Property Offense,Theft,19
47,D12,Personal Offense,Assault,17
48,D12,Property Offense,Fraud,17
49,D11,Controlled Substances,Other,9
50,D11,Other,Other,37
51,D11,Property Offense,Break & Enter,4
52,D11,Personal Offense,Robbery,10
53,D12,Personal Offense,Assault,84
54,D11,Property Offense,Theft,252
55,D12,Property Offense,Theft,47
56,D12,Property Offense,Fraud,15
57,D11,Personal Offense,Robbery,14
58,D11,Property Offense,Theft,200
59,D12,Property Offense,Theft,7
60,D12,Personal Offense,Assault,14
61,D11,Property Offense,Break & Enter,1
62,D11,Other,Other,43
63,D11,Controlled Substances,Other,6
64,D12,Property Offense,Theft,55
65,D12,Personal Offense,Assault,24
66,D11,Property Offense,Break & Enter,1
67,D11,Other,Other,46
68,D12,Property Offense,Fraud,5
69,D11,Personal Offense,Robbery,24
70,D11,Property Offense,Theft,39
71,D11,Controlled Substances,Other,4
72,D12,Property Offense,Theft,7
73,D12,Personal Offense,Assault,112
74,D11,Property Offense,Break & Enter,1
75,D11,Other,Other,57
76,D12,Property Offense,Fraud,14
